,player_id,player,position,team,salary,roster_id
403,7585,Davis Mills,QB,HOU,0,2
404,2152,Teddy Bridgewater,QB,DEN,0,9
405,7560,Pooka Williams,RB,CIN,0,999
406,2996,Logan Stokes,TE,,0,999
407,980,Colin Kaepernick,QB,,0,999
408,4004,Chris Briggs,TE,,0,999
409,2488,Evan Spencer,WR,,0,999
410,7938,Hunter Kampmoyer,TE,LAC,0,999
411,5112,Bo Scarbrough,RB,LV,0,999
412,2915,Taylor Pontius,K,,0,999
413,2576,Cody Fajardo,QB,,0,999
414,4125,Taywan Taylor,WR,HOU,0,999
415,194,Reggie Wayne,WR,,0,999
416,36,Matt Hasselbeck,QB,,0,999
417,775,Stephen Hauschka,K,,0,999
418,5265,Nic Shimonek,QB,,0,999
419,16,Ray Rice,RB,,0,999
420,5965,Miles Boykin,WR,BAL,0,999
421,3275,Ricardo Louis,WR,,0,999
422,963,Luke Stocker,TE,TEN,0,999
423,6313,Duplicate Player,WR,,0,999
424,2478,Keith Mumphery,WR,,0,999
425,4,Roddy White,WR,,0,999
426,6247,Jason Moore,WR,LAC,0,999
427,2773,Tyler Murphy,WR,,0,999
428,4563,Taylor McNamara,TE,,0,999
429,5850,Josh Jacobs,RB,LV,0,2
430,2295,Kevin Smith,WR,,0,999
431,2196,Brandon Coleman,WR,,0,999
432,5026,Tre'Quan Smith,WR,NO,0,999
433,4663,Austin Ekeler,RB,LAC,0,6
434,1479,Keenan Allen,WR,LAC,0,5
435,3768,Darius Powe,WR,,0,999
436,6240,Ron'quavion Tarver,WR,,0,999
437,3660,Valdez Showers,WR,,0,999
438,1704,Chase Reynolds,RB,,0,999
439,4189,Eric Saubert,TE,DEN,0,999
440,621,Sam Bradford,QB,,0,999
441,4541,Brandon Reilly,WR,,0,999
442,4636,Lenard Tillery,RB,,0,999
443,5070,Jordan Lasley,WR,,0,999
444,966,Austin Pettis,WR,,0,999
445,323,Jamaal Charles,RB,,0,999
446,7481,Chase Harrell,TE,SF,0,999
447,5127,Kyle Allen,QB,WAS,0,999
448,5167,Dalton Sturm,QB,,0,999
449,822,Tandon Doss,WR,,0,999
450,4445,Keon Hatcher,WR,,0,999
451,6744,Greg Ward,WR,PHI,0,3
452,3297,Tajae Sharpe,WR,ATL,0,999
453,1568,Stedman Bailey,WR,,0,999
454,7526,Jaylen Waddle,WR,MIA,0,5
455,5386,Matthew McCrane,K,CLE,0,999
456,289,Drew Brees,QB,,0,999
457,322,Antonio Gates,TE,,0,999
458,5192,Ralph Webb,RB,,0,999
459,3386,Thomas Duarte,TE,,0,999
460,2698,Abou Toure,RB,,0,999
461,5228,J.T. Barrett,QB,,0,999
462,1979,Blake Bortles,QB,GB,0,999
463,6165,Antoine Wesley,WR,ARI,0,999
464,5779,Blake Jackson,WR,,0,999
465,6539,Devontae Jackson,RB,,0,999
466,3780,Cedric O'Neal,RB,,0,999
467,5100,Jordan Wilkins,RB,IND,0,999
468,2545,Geoff Swaim,TE,TEN,0,999
469,4454,Kendrick Bourne,WR,NE,0,999
470,2621,Terron Ward,RB,,0,999
471,3584,Marcus Leak,WR,,0,999
472,2920,Jeret Smith,WR,,0,999
473,7021,Rico Dowdle,RB,DAL,0,999
474,391,Ryan Succop,K,TB,0,999
475,4985,Rashaad Penny,RB,SEA,0,999
476,3032,Lavance Taylor,RB,,0,999
477,151,Lavelle Hawkins,WR,,0,999
478,339,Brian Hartline,WR,,0,999
479,5247,David Marvin,K,,0,999
480,3657,Rob Kelley,RB,,0,999
481,2722,Jimmay Mundine,TE,,0,999
482,5289,Cameron Batson,WR,TEN,0,999
483,7320,Dalton Schoen,WR,KC,0,999
484,4708,Kevonn Mabon,WR,,0,999
485,5755,Duplicate Player,TE,,0,999
486,2133,Davante Adams,WR,GB,0,10
487,3380,Devin Lucien,WR,,0,999
488,6866,K.J. Hill,WR,LAC,0,999
489,4680,Larry Clark,WR,,0,999
490,7547,Amon-Ra St. Brown,WR,DET,0,5
491,165,Brandon Bostick,TE,,0,999
492,2203,Nic Jacobs,TE,,0,999
493,8038,Nick Guggemos,TE,WAS,0,999
494,7001,Brian Herrien,RB,,0,999
495,1185,Travaris Cadet,RB,,0,999
496,956,Mark Ingram,RB,HOU,0,999
497,171,Zach Miller,TE,,0,999
498,1502,Chris Thompson,RB,,0,999
499,1916,Martavis Bryant,WR,,0,999
500,7475,Napoleon Maxwell,RB,,0,999
501,3880,MJ McFarland,TE,,0,999
502,6021,Nick Brossette,RB,,0,999
503,968,Greg Salas,WR,,0,999
504,5539,Derrick Willies,WR,CLE,0,999
505,6790,D'Andre Swift,RB,DET,0,9
506,1777,Josh Hill,TE,,0,999
507,6342,Stephen Louis,WR,,0,999
508,1817,Sammy Watkins,WR,BAL,0,1
509,7565,Terrace Marshall,WR,CAR,0,10
510,2980,Eli Rogers,WR,,0,999
511,7903,Briley Moore-McKinney,TE,TEN,0,999
512,2903,Shane Carden,QB,,0,999
513,3036,Matt Lengel,TE,,0,999
